country_id,country_name,Population,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,Land_Area,historical_data,wem_urbanization_perc,d_bar,u_bar,rising_income,falling_income,gini_case1,gini_case2,gini_case3
49,Belarus,7714159000,2065,15.29445470982922,38.0176383618353,90,NA,NA,30528.974929375105,235505366712.21332,NA,202910,0,90,0,0,1,0,25.703955120931056,26.800160417415697,26.478148189523758
49,Belarus,7667702500,2066,15.12209017339822,37.788687102656354,90,NA,NA,31119.13542228871,238612272475.3217,NA,202910,0,90,0,0,1,0,25.737435345326396,26.85615881324154,26.51715540325409
49,Belarus,7621641000,2067,14.951522232670722,37.56168251934355,90,NA,NA,31700.545673355806,241610178626.4212,NA,202910,0,90,0,0,1,0,25.770748168599766,26.911597225109123,26.55525360136899
49,Belarus,7575932500,2068,14.782737020268568,37.336417623576956,90,NA,NA,32271.123473414373,244483853133.75284,NA,202910,0,90,0,0,1,0,25.803894427756767,26.96648125285803,26.592454468741998
49,Belarus,7530915500,2069,14.615679790754344,37.11456064264945,90,NA,NA,32835.959632533566,247284837354.02136,NA,202910,0,90,0,0,1,0,25.836874955617983,27.020816440329455,26.62876956042435
49,Belarus,7486680000,2070,14.450306818092473,36.89655512296092,90,NA,NA,33399.305526921904,250049912702.2957,NA,202910,0,90,0,0,1,0,25.869690580839894,27.07460827592616,26.664210303008023
49,Belarus,7443128999.9999895,2071,14.28659869099253,36.6819230200581,90,NA,NA,33961.641480269085,252780878589.3934,NA,202910,0,90,0,0,1,0,25.902342127935697,27.127862193166898,26.698787995974925
49,Belarus,7400313000,2072,14.124577563685056,36.470913212754425,90,NA,NA,34515.253160142696,255423676659.29507,NA,202910,0,90,0,0,1,0,25.934830417296016,27.18058357123523,26.73251381303217
49,Belarus,7358177000,2073,13.964254738618278,36.263254644916465,90,NA,NA,35053.51228888292,257929947893.27567,NA,202910,0,90,0,0,1,0,25.967156265209535,27.232777735522877,26.76539880343376
49,Belarus,7316723000,2074,13.805536808985645,36.05895717313095,90,NA,NA,35591.82530769375,260415526840.78494,NA,202910,0,90,0,0,1,0,25.999320483883487,27.28444995816765,26.797453893288676
49,Belarus,7276134500,2075,13.648431369669265,35.85892513922429,90,NA,NA,36125.37470822872,262853085239.97043,NA,202910,0,90,0,0,1,0,26.03132388146407,27.335605458585977,26.828689886855596
49,Belarus,7236355999.9999895,2076,13.492919495711114,35.66288502291651,90,NA,NA,36654.90840027465,265247966331.7775,NA,202910,0,90,0,0,1,0,26.063167262056748,27.386249404000118,26.859117467824344
49,Belarus,7197406000,2077,13.339051308564837,35.47092799763442,90,NA,NA,37164.44554217183,267487603331.9008,NA,202910,0,90,0,0,1,0,26.094851425746462,27.43638690996012,26.888747200584223
49,Belarus,7159318999.99999,2078,13.186769408712037,35.28322408949776,90,NA,NA,37663.098804104404,269642138867.10156,NA,202910,0,90,0,0,1,0,26.126377168617733,27.48602304086052,26.917589531479315
49,Belarus,7121971000,2079,13.0360332871784,35.09916219013356,90,NA,NA,38157.14975986874,271754114032.44214,NA,202910,0,90,0,0,1,0,26.15774528277464,27.53516281045191,26.945654790050945
49,Belarus,7085432000,2080,12.88684071114649,34.91908728007491,90,NA,NA,38643.47482188982,273805713094.21243,NA,202910,0,90,0,0,1,0,26.188956556360772,27.583811182347397,26.97295319026743
49,Belarus,7049711500,2081,12.73919582490578,34.74304617810852,90,NA,NA,39116.783898569396,275762041292.7595,NA,202910,0,90,0,0,1,0,26.220011773578968,27.63197307052392,26.99949483174116
49,Belarus,7014774500,2082,12.593077643693897,34.57086639396777,90,NA,NA,39578.52119631653,277634401235.6307,NA,202910,0,90,0,0,1,0,26.250911714711073,27.679653339818678,27.025289700933275
49,Belarus,6980612500,2083,12.448444987493046,34.40250603715933,90,NA,NA,40036.583538917774,279479875509.06366,NA,202910,0,90,0,0,1,0,26.281657156137516,27.726856806420493,27.05034767234592
49,Belarus,6947173999.9999895,2084,12.305351343223803,34.23771130057656,90,NA,NA,40470.49179004332,281155548331.002,NA,202910,0,90,0,0,1,0,26.31224887035683,27.773588238356282,27.07467850970233
49,Belarus,6914309999.99999,2085,12.163690413842462,34.07574786851308,90,NA,NA,40908.63272331063,282854968325.1135,NA,202910,0,90,0,0,1,0,26.342687626005045,27.819852355972717,27.098291867114778
49,Belarus,6881959999.9999895,2086,12.023354955951778,33.91631757922226,90,NA,NA,41383.54434214149,284799896820.8436,NA,202910,0,90,0,0,1,0,26.37297418787502,27.86565383241299,27.121197290240552
49,Belarus,6850267500,2087,11.88421169909286,33.7601276427973,90,NA,NA,41941.22008856783,287308576883.06335,NA,202910,0,90,0,0,1,0,26.403109316935648,27.910997294088858,27.14340421742608
49,Belarus,6819273500,2088,11.746330142133065,33.607380119264704,90,NA,NA,42562.037635274544,290242175352.23035,NA,202910,0,90,0,0,1,0,26.43309377035097,27.95588732114797,27.164921980839317
49,Belarus,6788730000,2089,11.60979327537113,33.45685279187817,90,NA,NA,43218.052780647035,293395691453.56195,NA,202910,0,90,0,0,1,0,26.46292830149921,28.00032844793649,27.185759807590486
49,Belarus,6758532999.99999,2090,11.474636030305728,33.30803311813114,90,NA,NA,43895.037204161796,296666057480.5548,NA,202910,0,90,0,0,1,0,26.492613659991715,28.044325163457124,27.20592682084134
49,Belarus,6728857500,2091,11.340867122124243,33.161783549356855,90,NA,NA,44586.75652806214,300017931064.5249,NA,202910,0,90,0,0,1,0,26.522150591691755,28.087881911822553,27.22543204090306
