country_id,country_name,iso3c,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,lag_GDP_PPP_pcap,lag_ES_pcap,lag_energy_service,lag_Gini,lag_density,lag_urbanization
2,China,CHN,2006,NA,139.645342881819,43.868,580.6359457232174,765309549384.62,6233.515715705959,8216110522621.607,4.293314873008911,5656.191094731851,530.9439714550767,695551008177.9839,40.9,138.867766063821,42.522
2,China,CHN,2007,NA,140.376588050196,45.199,635.0686451300326,841982636485.8727,6844.022990257595,9073898649691.818,4.440196966362277,6233.515715705959,580.6359457232174,765309549384.62,NA,139.645342881819,43.868
2,China,CHN,2008,43,141.097705219827,46.539,731.2031573799745,975294146322.2004,7350.690260706264,9804505232694.129,4.977229081899264,6844.022990257595,635.0686451300326,841982636485.8727,NA,140.376588050196,45.199
2,China,CHN,2009,NA,141.801244134798,47.88,740.4711721639208,994099373616.0376,7967.700280451636,10696818668592.094,4.83400679752094,7350.690260706264,731.2031573799745,975294146322.2004,43,141.097705219827,46.539
2,China,CHN,2010,43.7,142.487743405,49.226,816.7072342311568,1103830062725.386,8884.591219131631,12008071523862.29,4.9622906968465195,7967.700280451636,740.4711721639208,994099373616.0376,NA,141.801244134798,47.88
2,China,CHN,2011,42.4,143.268509836432,50.511,901.2568018074164,1225935163093.0544,9511.658883487904,12938240312005.918,5.191243821436457,8884.591219131631,816.7072342311568,1103830062725.386,43.7,142.487743405,49.226
2,China,CHN,2012,42.2,144.243669001474,51.765,979.7194927069842,1341746288089.1497,9946.983775592149,13622601834436.91,5.457495204379226,9511.658883487904,901.2568018074164,1225935163093.0544,42.4,143.268509836432,50.511
2,China,CHN,2013,39.7,145.207643927049,53.013,1097.1114525019361,1512925512679.1365,10684.988411463699,14734684916030.277,5.907360381258254,9946.983775592149,979.7194927069842,1341746288089.1497,42.2,144.243669001474,51.765
2,China,CHN,2014,39.2,146.125816729087,54.259,1181.3247446481505,1639622012450.7712,11436.793571700855,15873720225509.506,6.137543422532902,10684.988411463699,1097.1114525019361,1512925512679.1365,39.7,145.207643927049,53.013
2,China,CHN,2015,38.6,146.977949259981,55.5,1372.375366209109,1916020151065.0525,11801.615869104164,16476639246880.266,6.989190881336459,11436.793571700855,1181.3247446481505,1639622012450.7712,39.2,146.125816729087,54.259
