country_id,country_name,iso3c,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,lag_GDP_PPP_pcap,lag_ES_pcap,lag_energy_service,lag_Gini,lag_density,lag_urbanization
9,United Kingdom,GBR,1992,35,238.0043896995,78.172,5982.944827548709,344074609994.2573,28165.0892943817,1619752879852.0278,28150.46016247294,5892.877504207365,338012233183.7784,35,237.361621130079,78.112
9,United Kingdom,GBR,1993,35.1,238.575678915389,78.232,6064.871230945629,349624436853.26636,28772.09945572822,1658638524420.3604,28165.0892943817,5982.944827548709,344074609994.2573,35,238.0043896995,78.172
9,United Kingdom,GBR,1994,36,239.183834166908,78.293,6065.348323430875,350491611682.9436,29784.7361391247,1721137784061.843,28772.09945572822,6064.871230945629,349624436853.26636,35.1,238.575678915389,78.232
9,United Kingdom,GBR,1995,35.5,239.817426528335,78.353,6009.877208318669,348154374273.2043,30436.516804328563,1763198497366.8704,29784.7361391247,6065.348323430875,350491611682.9436,36,239.183834166908,78.293
9,United Kingdom,GBR,1996,35.3,240.428843053776,78.413,6247.494355186534,362845641315.9623,31096.028024154257,1806013353407.2642,30436.516804328563,6009.877208318669,348154374273.2043,35.5,239.817426528335,78.353
9,United Kingdom,GBR,1997,35.7,241.048873641136,78.472,6471.715343013314,376978696894.3058,32526.47678521269,1894673696717.8042,31096.028024154257,6247.494355186534,362845641315.9623,35.3,240.428843053776,78.413
9,United Kingdom,GBR,1998,36.6,241.752329186128,78.532,6490.358700505741,379285665145.2967,33444.34211488424,1954431200143.421,32526.47678521269,6471.715343013314,376978696894.3058,35.7,241.048873641136,78.472
9,United Kingdom,GBR,1999,36.8,242.559690819659,78.591,6802.683999357327,398876753845.826,34328.71014804101,2012870871094.186,33444.34211488424,6490.358700505741,379285665145.2967,36.6,241.752329186128,78.532
9,United Kingdom,GBR,2000,38.8,243.427908899268,78.651,6674.85447644589,392815476295.0104,35459.462650157235,2086790919448.3787,34328.71014804101,6802.683999357327,398876753845.826,36.8,242.559690819659,78.591
9,United Kingdom,GBR,2001,37.1,244.366854048692,78.751,6653.482800088496,393167712078.5536,36046.205000582195,2130042922633.6797,35459.462650157235,6674.85447644589,392815476295.0104,38.8,243.427908899268,78.651
9,United Kingdom,GBR,2002,35.1,245.40354234696,79.047,6797.75275888502,403485305453.024,36648.01940658417,2175268479011.1938,36046.205000582195,6653.482800088496,393167712078.5536,37.1,244.366854048692,78.751
9,United Kingdom,GBR,2003,34.9,246.548906708552,79.339,6761.727834199297,403335706202.6927,37572.24260651978,2241176719458.137,36648.01940658417,6797.75275888502,403485305453.024,35.1,245.40354234696,79.047
9,United Kingdom,GBR,2004,34.8,247.955627660894,79.629,6824.146238643649,409420457523.80096,38235.48672850077,2293970545557.8623,37572.24260651978,6761.727834199297,403335706202.6927,34.9,246.548906708552,79.339
9,United Kingdom,GBR,2005,35.5,249.663977183483,79.915,6803.607632676634,410827284558.97284,38975.05465602872,2353459625298.01,38235.48672850077,6824.146238643649,409420457523.80096,34.8,247.955627660894,79.629
9,United Kingdom,GBR,2006,35.9,251.50589013351,80.199,6791.128215933799,412925722703.17395,39706.0620483489,2414275484969.192,38975.05465602872,6803.607632676634,410827284558.97284,35.5,249.663977183483,79.915
9,United Kingdom,GBR,2007,34.4,253.471925763651,80.479,6444.1921632476815,394775568194.4553,40304.27529421361,2469067150213.6245,39706.0620483489,6791.128215933799,412925722703.17395,35.9,251.50589013351,80.199
9,United Kingdom,GBR,2008,35.4,255.474703426611,80.757,6258.703020876444,386425783849.758,39894.145333681954,2463150325261.064,40304.27529421361,6444.1921632476815,394775568194.4553,34.4,253.471925763651,80.479
9,United Kingdom,GBR,2009,35.1,257.414417393461,81.031,6128.168542579595,381437907979.40594,37892.08827469814,2358531554745.356,39894.145333681954,6258.703020876444,386425783849.758,35.4,255.474703426611,80.757
9,United Kingdom,GBR,2010,33.7,259.440189310958,81.302,6090.200745590688,382221233265.9997,38381.14596124209,2408802198201.6694,37892.08827469814,6128.168542579595,381437907979.40594,35.1,257.414417393461,81.031
9,United Kingdom,GBR,2011,33.2,261.475674781962,81.57,6035.914439829421,381991066240.07135,38616.72466274913,2443912016261.0654,38381.14596124209,6090.200745590688,382221233265.9997,33.7,259.440189310958,81.302
9,United Kingdom,GBR,2012,33.1,263.300190137643,81.837,6037.799410564786,385264294269.4893,38863.56759044928,2479834774625.026,38616.72466274913,6035.914439829421,381991066240.07135,33.2,261.475674781962,81.57
9,United Kingdom,GBR,2013,32.7,265.069536642831,82.102,6041.550957821952,388485604030.5016,39294.1500445005,2526704106524.034,38863.56759044928,6037.799410564786,385264294269.4893,33.1,263.300190137643,81.837
9,United Kingdom,GBR,2014,33.1,267.028884388046,82.365,6223.061068512526,403089471013.54034,40175.09984774032,2602281990688.007,39294.1500445005,6041.550957821952,388485604030.5016,32.7,265.069536642831,82.102
9,United Kingdom,GBR,2015,33.3,269.153139337825,82.626,6385.423727439405,416485201492.74457,40943.739241713614,2670529351822.613,40175.09984774032,6223.061068512526,403089471013.54034,33.1,267.028884388046,82.365
9,United Kingdom,GBR,2016,33.1,271.200731616583,82.886,6667.307198662778,437743407591.566,41595.72561788085,2730975809374.2676,40943.739241713614,6385.423727439405,416485201492.74457,33.3,269.153139337825,82.626
9,United Kingdom,GBR,2017,32.6,273.049472988054,83.143,6813.439576231508,450128553576.2967,42220.16895840532,2789267208194.011,41595.72561788085,6667.307198662778,437743407591.566,33.1,271.200731616583,82.886
9,United Kingdom,GBR,2018,33.7,274.708981936924,83.398,6932.9860121173715,460579014678.5843,42679.33418566031,2835315930540.299,42220.16895840532,6813.439576231508,450128553576.2967,32.6,273.049472988054,83.143
9,United Kingdom,GBR,2019,32.8,276.263080229819,83.652,7081.696150856353,472906172399.6489,43168.29470328566,2882720831602.219,42679.33418566031,6932.9860121173715,460579014678.5843,33.7,274.708981936924,83.398
9,United Kingdom,GBR,2020,32.6,277.27538544207,83.903,5825.970408158893,390686511110.7007,39002.40504070976,2615480766764.9453,43168.29470328566,7081.696150856353,472906172399.6489,32.8,276.263080229819,83.652
9,United Kingdom,GBR,2021,32.4,277.048286694498,84.152,6531.8293633971725,439468269405.98505,41766.682776097994,2810105833642.6187,39002.40504070976,5825.970408158893,390686511110.7007,32.6,277.27538544207,83.903
9,United Kingdom,GBR,2022,NA,280.209151407432,84.398,6916.057513999625,466895680626.89044,43259.12872061869,2920377730586.441,41766.682776097994,6531.8293633971725,439468269405.98505,32.4,277.048286694498,84.152
9,United Kingdom,GBR,2023,NA,NA,84.642,6856.658607740328,464448126494.1023,43320.05529597518,2934362008212.522,43259.12872061869,6916.057513999625,466895680626.89044,NA,280.209151407432,84.398
10,Brazil,BRA,1960,NA,NA,46.139,394.108748561173,28806399615.838726,4000.059586991903,292374415363.09906,NA,NA,NA,NA,NA,NA
10,Brazil,BRA,1961,NA,8.92608247768044,47.122,408.846659915598,30798422366.638565,4215.034903179732,317518615084.3255,4000.059586991903,394.108748561173,28806399615.838726,NA,NA,46.139
10,Brazil,BRA,1962,NA,9.19646272974609,48.099,423.990794447961,32901354088.360516,4361.833178265933,338474843679.89105,4215.034903179732,408.846659915598,30798422366.638565,NA,8.92608247768044,47.122
10,Brazil,BRA,1963,NA,9.47151339891411,49.078,439.4470260834842,35118652982.56112,4260.81871973448,340505692741.9704,4361.833178265933,423.990794447961,32901354088.360516,NA,9.19646272974609,48.099
10,Brazil,BRA,1964,NA,9.74960876462945,50.059,455.29233556927176,37453619610.71384,4279.977243359834,352082886295.19745,4260.81871973448,439.4470260834842,35118652982.56112,NA,9.47151339891411,49.078
10,Brazil,BRA,1965,NA,10.0282578420558,51.037,471.61521057075555,39909846496.49895,4260.421999938992,360532875566.2822,4279.977243359834,455.29233556927176,37453619610.71384,NA,9.74960876462945,50.059
10,Brazil,BRA,1966,NA,10.3060440480777,52.016,488.5197842933535,42491100569.1505,4422.760972049213,384688578229.2231,4260.421999938992,471.61521057075555,39909846496.49895,NA,10.0282578420558,51.037
10,Brazil,BRA,1967,NA,10.5820342803542,52.993,506.04031480395764,45201184778.844574,4487.581094359742,400845498514.8504,4422.760972049213,488.5197842933535,42491100569.1505,NA,10.3060440480777,52.016
10,Brazil,BRA,1968,NA,10.8566307814897,53.97,524.1615166954911,48044249402.52512,4801.788980124338,440128357369.3058,4487.581094359742,506.04031480395764,45201184778.844574,NA,10.5820342803542,52.993
10,Brazil,BRA,1969,NA,11.1323544472813,54.94,542.7988291510711,51023296746.554596,5127.006360957088,481940551319.38983,4801.788980124338,524.1615166954911,48044249402.52512,NA,10.8566307814897,53.97
10,Brazil,BRA,1970,NA,11.4111095291536,55.909,561.54282029620515,54115811399.09276,5521.044503343046,532062368656.6064,5127.006360957088,542.7988291510711,51023296746.554596,NA,11.1323544472813,54.94
10,Brazil,BRA,1971,NA,11.6939023514801,56.894,580.8702992872728,57370403270.05292,5998.137624534895,592413788088.4486,5521.044503343046,561.54282029620515,54115811399.09276,NA,11.4111095291536,55.909
10,Brazil,BRA,1972,NA,11.9819477778549,57.879,642.6267653659248,65030225768.07092,6553.229222870776,663150056674.8779,5998.137624534895,580.8702992872728,57370403270.05292,NA,11.6939023514801,56.894
10,Brazil,BRA,1973,NA,12.275575187781,58.855,735.002056845472,76195387666.8021,7290.5007665085595,755783643073.5692,6553.229222870776,642.6267653659248,65030225768.07092,NA,11.9819477778549,57.879
10,Brazil,BRA,1974,NA,12.5733327032091,59.826,748.2373004489016,79438387821.0343,7699.256019239239,817409777917.8115,7290.5007665085595,735.002056845472,76195387666.8021,NA,12.275575187781,58.855
10,Brazil,BRA,1975,NA,12.8760184682238,60.789,761.1099445006312,82733042938.83926,7908.356944966192,859642472721.6438,7699.256019239239,748.2373004489016,79438387821.0343,NA,12.5733327032091,59.826
10,Brazil,BRA,1976,NA,13.1863487570201,61.745,794.646418957173,88433422279.18631,8516.909745195127,947817114684.7513,7908.356944966192,761.1099445006312,82733042938.83926,NA,12.8760184682238,60.789
10,Brazil,BRA,1977,NA,13.5048338505936,62.689,764.3251412122559,87087119456.65834,8729.037350668481,994585520624.9087,8516.909745195127,794.646418957173,88433422279.18631,NA,13.1863487570201,61.745
10,Brazil,BRA,1978,NA,13.8309410945497,63.625,818.151022278517,95449083396.79059,8948.878702602186,1044015403432.0367,8729.037350668481,764.3251412122559,87087119456.65834,NA,13.5048338505936,62.689
10,Brazil,BRA,1979,NA,14.1635365045333,64.551,842.8237099862178,100673019483.71973,9331.196432662802,1114586252310.391,8948.878702602186,818.151022278517,95449083396.79059,NA,13.8309410945497,63.625
10,Brazil,BRA,1980,NA,14.5017265803157,65.468,754.1904276692871,92228727496.66037,9955.668220557583,1217462563398.6401,9331.196432662802,842.8237099862178,100673019483.71973,NA,14.1635365045333,64.551
10,Brazil,BRA,1981,57.9,14.8433872847308,66.37,737.442464888144,92304242322.94513,9308.378493896107,1165111673172.499,9955.668220557583,754.1904276692871,92228727496.66037,NA,14.5017265803157,65.468
10,Brazil,BRA,1982,58.4,15.1855741827727,67.262,754.0406099174721,96566281965.9187,9170.590715160708,1174432566557.8787,9308.378493896107,737.442464888144,92304242322.94513,57.9,14.8433872847308,66.37
10,Brazil,BRA,1983,58.9,15.5285837518874,68.142,730.3905381180098,95664631755.58167,8706.649264126316,1140374022127.7002,9170.590715160708,754.0406099174721,96566281965.9187,58.4,15.1855741827727,67.262
10,Brazil,BRA,1984,58.3,15.8718164567715,69.01,743.9790823344922,99610447959.3893,8977.259066882913,1201954219322.5962,8706.649264126316,730.3905381180098,95664631755.58167,58.9,15.5285837518874,68.142
